concrete_sku,name,quantity,is_never_out_of_stock,is_bundle
001_25904006,Spryker MER000001 Warehouse 1,10,0,0
002_25904004,Spryker MER000001 Warehouse 1,0,1,0
003_26138343,Spryker MER000001 Warehouse 1,10,0,0
004_30663302,Spryker MER000001 Warehouse 1,10,1,0
005_30663301,Spryker MER000001 Warehouse 1,10,1,0
006_30692993,Spryker MER000001 Warehouse 1,10,1,0
007_30691822,Spryker MER000001 Warehouse 1,10,1,0
008_30692992,Spryker MER000001 Warehouse 1,10,1,0
009_30692991,Spryker MER000001 Warehouse 1,10,1,0
010_30692994,Spryker MER000001 Warehouse 1,10,1,0
011_30775359,Spryker MER000001 Warehouse 1,10,1,0
012_25904598,Spryker MER000001 Warehouse 1,10,1,0
013_25904584,Spryker MER000001 Warehouse 1,10,1,0
014_25919241,Spryker MER000001 Warehouse 1,10,1,0
015_25904009,Spryker MER000001 Warehouse 1,10,1,0
016_21748907,Spryker MER000001 Warehouse 1,10,1,0
017_21748906,Spryker MER000001 Warehouse 1,10,1,0
018_21081477,Spryker MER000001 Warehouse 1,10,1,0
019_21081473,Spryker MER000001 Warehouse 1,10,1,0
020_21081478,Spryker MER000001 Warehouse 1,10,1,0
021_21081475,Spryker MER000001 Warehouse 1,10,1,0
022_21994751,Spryker MER000001 Warehouse 1,10,1,0
023_21758366,Spryker MER000001 Warehouse 1,10,1,0
024_21987578,Spryker MER000001 Warehouse 1,10,1,0
025_21764665,Spryker MER000001 Warehouse 1,10,1,0
026_21748904,Spryker MER000001 Warehouse 1,10,1,0
027_26976107,Spryker MER000001 Warehouse 1,0,1,0
028_26976108,Spryker MER000001 Warehouse 1,0,1,0
029_26976109,Spryker MER000001 Warehouse 1,0,1,0
030_30021698,Spryker MER000001 Warehouse 1,0,1,0
031_30021637,Spryker MER000001 Warehouse 1,0,1,0
032_32125551,Spryker MER000001 Warehouse 1,0,1,0
033_32125568,Spryker MER000001 Warehouse 1,0,1,0
034_32125390,Spryker MER000001 Warehouse 1,0,1,0
035_17360369,Spryker MER000001 Warehouse 1,10,1,0
036_17360368,Spryker MER000001 Warehouse 1,0,1,0
037_25904011,Spryker MER000001 Warehouse 1,0,1,0
038_25905593,Spryker MER000001 Warehouse 1,0,1,0
039_25904010,Spryker MER000001 Warehouse 1,0,1,0
040_25904665,Spryker MER000001 Warehouse 1,0,1,0
041_25904691,Spryker MER000001 Warehouse 1,0,1,0
042_31040075,Spryker MER000001 Warehouse 1,0,1,0
043_31040074,Spryker MER000001 Warehouse 1,0,1,0
044_31040076,Spryker MER000001 Warehouse 1,0,1,0
045_26408558,Spryker MER000001 Warehouse 1,0,1,0
046_26408563,Spryker MER000001 Warehouse 1,0,1,0
047_26408568,Spryker MER000001 Warehouse 1,0,1,0
048_26403666,Spryker MER000001 Warehouse 1,0,1,0
049_30395396,Spryker MER000001 Warehouse 1,0,1,0
050_31080444,Spryker MER000001 Warehouse 1,0,1,0
051_29567823,Spryker MER000001 Warehouse 1,0,1,0
051_30107816,Spryker MER000001 Warehouse 1,0,1,0
051_30614390,Spryker MER000001 Warehouse 1,0,1,0
052_29567823,Spryker MER000001 Warehouse 1,0,1,0
052_30107816,Spryker MER000001 Warehouse 1,0,1,0
052_30614390,Spryker MER000001 Warehouse 1,0,1,0
053_29567823,Spryker MER000001 Warehouse 1,0,1,0
053_30107816,Spryker MER000001 Warehouse 1,0,1,0
053_30614390,Spryker MER000001 Warehouse 1,0,1,0
054_29406182,Spryker MER000001 Warehouse 1,0,1,0
055_29406184,Spryker MER000001 Warehouse 1,0,1,0
056_31714843,Spryker MER000001 Warehouse 1,0,1,0
057_32007641,Spryker MER000001 Warehouse 1,0,1,0
058_24245592,Spryker MER000001 Warehouse 1,0,1,0
058_26175504,Spryker MER000001 Warehouse 1,10,0,0
059_24245592,Spryker MER000001 Warehouse 1,10,0,0
059_26175504,Spryker MER000001 Warehouse 1,10,0,0
059_26027598,Spryker MER000001 Warehouse 1,10,0,0
060_24245592,Spryker MER000001 Warehouse 1,10,0,0
060_26175504,Spryker MER000001 Warehouse 1,10,0,0
060_26027598,Spryker MER000001 Warehouse 1,10,0,0
061_24752508,Spryker MER000001 Warehouse 1,10,0,0
