concrete_sku,name,quantity,is_never_out_of_stock,is_bundle
184_17365820,Warehouse1,20,0,0
184_17494387,Warehouse1,20,0,0
184_17560323,Warehouse1,20,0,0
185_25904533,Warehouse1,20,0,0
186_25904506,Warehouse1,20,0,0
187_26306352,Warehouse1,20,0,0
188_26306353,Warehouse1,10,0,0
189_30150732,Warehouse1,0,1,0
190_25111746,Warehouse1,10,0,0
191_17681791,Warehouse1,10,1,0
192_17738941,Warehouse1,10,1,0
193_32124735,Warehouse1,10,1,0
194_25904145,Warehouse1,10,1,0
195_25904159,Warehouse1,10,1,0
196_23120327,Warehouse1,10,1,0
197_21421718,Warehouse1,10,1,0
198_19692589,Warehouse1,10,1,0
199_7016823,Warehouse1,10,1,0
199_24788780,Warehouse1,10,1,0
200_5787536,Warehouse1,0,1,0
201_11217755,Warehouse1,10,1,0
202_5782479,Warehouse1,10,1,0
203_15619960,Warehouse1,10,1,0
204_29851280,Warehouse1,10,1,0
205_6350138,Warehouse1,10,1,0
206_6429825,Warehouse1,10,1,0
207_15721464,Warehouse1,10,1,0
208_14678762,Warehouse1,10,1,0
209_12554247,Warehouse1,10,1,0
666_124,Warehouse1,0,1,0
666_125,Warehouse1,0,1,0
666_126,Warehouse1,0,1,0
666_127,Warehouse1,0,1,0
666_128,Warehouse1,0,1,0
666_129,Warehouse1,0,1,0
666_130,Warehouse1,0,1,0
666_131,Warehouse1,0,1,0
666_132,Warehouse1,0,1,0
666_133,Warehouse1,0,1,0
